####################################################################################################
# Month: 01Jan                                                                                     #
# Station: NOEMA                                                                                   #
# Columns are: year    day     segment         windspeed (m/s)                                     #
####################################################################################################
year,day,segment,windspeed
2009,1,0,14.754968
2009,1,1,14.455116
2009,1,2,15.022845
2009,1,3,12.646978
2009,1,4,6.79185
2009,1,5,3.09988
2009,1,6,1.343476
2009,1,7,1.772682
2009,2,0,2.701356
2009,2,1,3.127463
2009,2,2,3.021928
2009,2,3,3.105229
2009,2,4,3.778881
2009,2,5,5.221649
2009,2,6,6.715308
2009,2,7,6.831278
2009,3,0,4.399764
2009,3,1,1.59791
2009,3,2,1.306321
2009,3,3,2.454602
2009,3,4,3.858456
2009,3,5,5.219289
2009,3,6,8.66683
2009,3,7,8.676079
2009,4,0,7.824498
2009,4,1,7.31521
2009,4,2,7.065363
2009,4,3,5.490991
2009,4,4,4.116371
2009,4,5,5.381768
2009,4,6,6.426014
2009,4,7,5.745886
2009,5,0,6.604746
2009,5,1,8.833553
2009,5,2,10.113863
2009,5,3,10.406501
2009,5,4,10.678483
2009,5,5,10.895448
2009,5,6,10.583226
2009,5,7,9.348297
2009,6,0,7.599116
2009,6,1,6.592306
2009,6,2,7.6671
2009,6,3,10.864139
2009,6,4,11.103901
2009,6,5,9.53797
2009,6,6,8.126385
2009,6,7,7.931251
2009,7,0,5.912166
2009,7,1,3.65784
2009,7,2,7.431942
2009,7,3,9.186066
2009,7,4,8.72325
2009,7,5,8.046652
2009,7,6,7.57977
2009,7,7,7.574846
2009,8,0,7.534877
2009,8,1,5.855081
2009,8,2,7.573318
2009,8,3,10.581657
2009,8,4,12.825212
2009,8,5,11.871288
2009,8,6,10.342184
2009,8,7,9.239902
2009,9,0,7.468695
2009,9,1,5.854149
2009,9,2,5.425815
2009,9,3,5.130513
2009,9,4,6.081192
2009,9,5,5.845933
2009,9,6,6.445277
2009,9,7,7.694635
2009,10,0,6.642673
2009,10,1,4.626857
2009,10,2,4.512626
2009,10,3,4.785086
2009,10,4,4.384177
2009,10,5,3.874097
2009,10,6,3.507146
2009,10,7,3.664116
2009,11,0,2.978062
2009,11,1,3.141147
2009,11,2,4.00017
2009,11,3,4.49829
2009,11,4,5.087898
2009,11,5,4.836339
2009,11,6,4.280186
2009,11,7,2.285044
2009,12,0,1.866668
2009,12,1,2.786254
2009,12,2,2.102665
2009,12,3,2.074598
2009,12,4,2.523681
2009,12,5,1.916476
2009,12,6,1.797737
2009,12,7,3.28243
2009,13,0,3.686154
2009,13,1,2.629948
2009,13,2,3.197407
2009,13,3,4.347529
2009,13,4,4.773622
2009,13,5,2.932527
2009,13,6,2.056468
2009,13,7,1.334469
2009,14,0,1.251419
2009,14,1,4.669789
2009,14,2,7.654973
2009,14,3,8.170602
2009,14,4,8.111268
2009,14,5,9.936164
2009,14,6,8.157821
2009,14,7,2.980108
2009,15,0,2.627202
2009,15,1,3.964198
2009,15,2,4.618788
2009,15,3,5.017023
2009,15,4,5.000796
2009,15,5,4.661943
2009,15,6,2.852242
2009,15,7,2.063529
2009,16,0,2.394081
2009,16,1,2.020624
2009,16,2,0.406662
2009,16,3,1.15626
2009,16,4,2.987675
2009,16,5,4.126538
2009,16,6,4.19023
2009,16,7,6.206638
2009,17,0,8.436456
2009,17,1,9.902029
2009,17,2,10.380951
2009,17,3,10.029548
2009,17,4,9.44884
2009,17,5,9.908943
2009,17,6,11.159143
2009,17,7,11.208766
2009,18,0,11.300232
2009,18,1,11.905934
