####################################################################################################
# Month: 02Feb                                                                                     #
# Station: TRL                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
2015,02,9,2,0.973611
2015,02,9,3,0.972262
2015,02,9,4,0.984086
2015,02,9,5,0.982482
2015,02,9,6,0.9798
2015,02,9,7,0.880064
2015,02,10,0,0.58991
2015,02,10,1,0.472651
2015,02,10,2,0.463847
2015,02,10,3,0.551854
2015,02,10,4,0.643206
2015,02,10,5,0.693568
2015,02,10,6,0.65408
2015,02,10,7,0.626103
2015,02,11,0,0.571274
2015,02,11,1,0.528791
2015,02,11,2,0.538627
2015,02,11,3,0.586503
2015,02,11,4,0.483764
2015,02,11,5,0.784643
2015,02,11,6,0.820452
2015,02,11,7,0.793561
2015,02,12,0,0.7815
2015,02,12,1,0.775567
2015,02,12,2,0.712444
2015,02,12,3,0.666228
2015,02,12,4,0.684121
2015,02,12,5,0.693388
2015,02,12,6,0.74274
2015,02,12,7,0.82819
2015,02,13,0,0.845942
2015,02,13,1,0.877357
2015,02,13,2,0.90549
2015,02,13,3,0.90626
2015,02,13,4,0.923881
2015,02,13,5,0.921733
2015,02,13,6,0.937633
2015,02,13,7,0.946151
2015,02,14,0,0.92947
2015,02,14,1,0.924269
2015,02,14,2,0.937227
2015,02,14,3,0.94797
2015,02,14,4,0.928367
2015,02,14,5,0.818619
2015,02,14,6,0.689051
2015,02,14,7,0.525721
2015,02,15,0,0.505171
2015,02,15,1,0.724799
2015,02,15,2,0.832843
2015,02,15,3,0.892186
2015,02,15,4,0.937346
2015,02,15,5,0.93259
2015,02,15,6,0.837545
2015,02,15,7,0.728781
2015,02,16,0,0.683529
2015,02,16,1,0.631249
2015,02,16,2,0.58327
2015,02,16,3,0.589637
2015,02,16,4,0.550433
2015,02,16,5,0.522572
2015,02,16,6,0.490194
2015,02,16,7,0.443704
2015,02,17,0,0.386955
2015,02,17,1,0.40369
2015,02,17,2,0.396225
2015,02,17,3,0.36435
2015,02,17,4,0.316481
2015,02,17,5,0.288433
2015,02,17,6,0.304295
2015,02,17,7,0.30794
2015,02,18,0,0.287378
2015,02,18,1,0.360056
2015,02,18,2,0.452919
2015,02,18,3,0.485414
2015,02,18,4,0.477392
2015,02,18,5,0.483589
2015,02,18,6,0.40735
2015,02,18,7,-0.117469
2015,02,19,0,0.369975
2015,02,19,1,0.467165
2015,02,19,2,0.54469
2015,02,19,3,0.628638
2015,02,19,4,0.721602
2015,02,19,5,0.934461
2015,02,19,6,0.998109
2015,02,19,7,1.032332
2015,02,20,0,0.971377
2015,02,20,1,0.943953
2015,02,20,2,0.902331
2015,02,20,3,0.909747
2015,02,20,4,0.956864
2015,02,20,5,0.909133
2015,02,20,6,0.738067
2015,02,20,7,0.583359
2015,02,21,0,0.524063
2015,02,21,1,0.592064
2015,02,21,2,0.717188
2015,02,21,3,0.822733
2015,02,21,4,0.876983
2015,02,21,5,0.870398
2015,02,21,6,0.841561
2015,02,21,7,0.895965
2015,02,22,0,0.990553
2015,02,22,1,0.942375
2015,02,22,2,0.783334
2015,02,22,3,0.813195
2015,02,22,4,0.787197
2015,02,22,5,0.830784
2015,02,22,6,0.921602
2015,02,22,7,0.921929
2015,02,23,0,0.968261
2015,02,23,1,1.016921
2015,02,23,2,0.981138
2015,02,23,3,0.901942
2015,02,23,4,0.691569
2015,02,23,5,0.539046
2015,02,23,6,0.504621
2015,02,23,7,0.574389
2015,02,24,0,0.649662
2015,02,24,1,0.81551
2015,02,24,2,0.93385
2015,02,24,3,0.893183
2015,02,24,4,0.854183
2015,02,24,5,0.899407
2015,02,24,6,0.969359
2015,02,24,7,0.944758
2015,02,25,0,0.856888
2015,02,25,1,0.828348
2015,02,25,2,0.771442
2015,02,25,3,0.609407
2015,02,25,4,0.631135
2015,02,25,5,0.665993
2015,02,25,6,0.621107
2015,02,25,7,0.604448
2015,02,26,0,0.627347
2015,02,26,1,0.622266
2015,02,26,2,0.566386
2015,02,26,3,0.508271
2015,02,26,4,0.548425
2015,02,26,5,0.560444
2015,02,26,6,0.542713
2015,02,26,7,0.577132
2015,02,27,0,0.688861
2015,02,27,1,1.311021
