####################################################################################################
# Month: 07Jul                                                                                     #
# Station: BAN                                                                                     #
# Columns are: year    day     windspeed (m/s)                                                     #
####################################################################################################
year,day,windspeed
2009,1,10.51995912
2009,2,8.44354562
2009,3,6.73013825
2009,4,6.35839575
2009,5,2.5857855
2009,6,8.20295025
2009,7,15.18829962
2009,8,9.04547188
2009,9,8.222494
2009,10,8.00710863
2009,11,9.88070675
2009,12,5.08229725
2009,13,7.69039625
2009,14,5.76358662
2009,15,5.95438413
2009,16,10.415753
2009,17,7.47862938
2009,18,10.12887013
2009,19,7.763328
2009,20,10.80825375
2009,21,5.67516288
2009,22,12.076679
2009,23,10.39723125
2009,24,11.318289
2009,25,9.41686375
2009,26,7.57731087
2009,27,7.39066875
2009,28,8.98129362
2009,29,5.58352262
2009,30,7.09381375
2009,31,8.16968625
