####################################################################################################
# Month: 07Jul                                                                                     #
# Station: BAJA                                                                                    #
# Columns are: year    day     windspeed (m/s)                                                     #
####################################################################################################
year,day,windspeed
2009,1,4.50178638
2009,2,2.5780505
2009,3,2.78677762
2009,4,1.17270662
2009,5,2.54886425
2009,6,2.8667305
2009,7,3.33313012
2009,8,2.6812945
2009,9,4.34782125
2009,10,2.5024725
2009,11,3.02775112
2009,12,2.72010238
2009,13,2.6878985
2009,14,3.91995338
2009,15,4.82159187
2009,16,2.84069275
2009,17,3.2775235
2009,18,6.112106
2009,19,7.78850325
2009,20,2.4565415
2009,21,3.07487225
2009,22,3.85499412
2009,23,2.78103175
2009,24,3.24531938
2009,25,4.59695975
2009,26,3.49319325
2009,27,2.63959738
2009,28,4.91037638
2009,29,3.76995388
2009,30,4.29773175
2009,31,3.07929175
