####################################################################################################
# Month: 10Oct                                                                                     #
# Station: BRZ                                                                                     #
# Columns are: year    day     windspeed (m/s)                                                     #
####################################################################################################
year,day,windspeed
2009,1,9.91451775
2009,2,7.1747195
2009,3,2.38142262
2009,4,1.70430425
2009,5,2.2707765
2009,6,2.92709375
2009,7,2.92421412
2009,8,5.7568865
2009,9,6.44510575
2009,10,5.82545662
2009,11,4.70138962
2009,12,6.03105012
2009,13,4.39403788
2009,14,2.71267412
2009,15,3.56008338
2009,16,3.97753812
2009,17,5.21849738
2009,18,5.14650825
2009,19,4.27892525
2009,20,7.60479388
2009,21,5.2626735
2009,22,9.06676362
2009,23,9.04775675
