####################################################################################################
# Month: 07Jul                                                                                     #
# Station: NOB                                                                                     #
# Columns are: year    month   day     segment         RH (percent)                                #
####################################################################################################
year,month,day,segment,RH
9,07,27,0,0.868145
9,07,27,1,0.876107
9,07,27,2,0.877425
9,07,27,3,0.908953
9,07,27,4,0.891337
9,07,27,5,0.848553
9,07,27,6,0.840273
9,07,27,7,0.82559
9,07,28,0,0.905169
9,07,28,1,0.837964
9,07,28,2,0.878539
9,07,28,3,0.919694
9,07,28,4,0.897164
9,07,28,5,0.859528
9,07,28,6,0.87012
9,07,28,7,0.880637
9,07,29,0,0.899555
9,07,29,1,0.944459
9,07,29,2,0.92945
9,07,29,3,0.902652
9,07,29,4,0.880313
9,07,29,5,0.893432
9,07,29,6,0.896049
9,07,29,7,0.900067
9,07,30,0,0.924382
9,07,30,1,0.79659
9,07,30,2,0.883163
9,07,30,3,0.943884
9,07,30,4,0.958051
9,07,30,5,0.952163
9,07,30,6,0.911805
9,07,30,7,0.917082
9,07,31,0,0.969124
9,07,31,1,0.842723
9,07,31,2,0.873494
9,07,31,3,0.950194
9,07,31,4,0.938352
9,07,31,5,0.928144
9,07,31,6,0.893956
9,07,31,7,0.832709
