####################################################################################################
# Month: 08Aug                                                                                     #
# Station: SAN                                                                                     #
# Columns are: year    day     windspeed (m/s)                                                     #
####################################################################################################
year,day,windspeed
2009,1,2.22954938
2009,2,6.10755312
2009,3,9.16898588
2009,4,7.87949662
2009,5,6.62107625
2009,6,14.7745445
2009,7,14.99368162
2009,8,5.8907335
2009,9,1.14237338
2009,10,2.68811425
2009,11,3.3050355
2009,12,2.342354
2009,13,3.96895062
2009,14,8.36265588
2009,15,10.525513
2009,16,2.99074112
2009,17,2.41314425
2009,18,4.51521812
2009,19,4.54818012
2009,20,5.04232212
2009,21,3.58801388
2009,22,5.418684
2009,23,8.085207
2009,24,7.84252038
2009,25,5.43289763
2009,26,3.05486363
2009,27,2.8640025
2009,28,6.2379815
2009,29,6.11909988
2009,30,8.85109362
2009,31,8.9304635
