####################################################################################################
# Month: 08Aug                                                                                     #
# Station: NZ                                                                                      #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.60330813
9,2,0.52998262
9,3,0.57220538
9,4,0.60915962
9,5,0.35138112
9,6,0.637144
9,7,0.2497025
9,8,0.14600062
9,9,0.0932115
9,10,0.21707325
9,11,0.80302062
9,12,0.89339112
9,13,0.88045488
9,14,0.7197595
9,15,0.930883
9,16,0.80274575
9,17,0.60425387
9,18,0.62239275
9,19,0.61402612
9,20,0.43953088
9,21,0.26943875
9,22,0.58291862
9,23,0.89769737
9,24,0.70153463
9,25,0.73007638
9,26,0.57083562
9,27,0.56747425
9,28,0.58054012
9,29,0.547756
9,30,0.66546562
9,31,0.56947825
