####################################################################################################
# Month: 05May                                                                                     #
# Station: YBG                                                                                     #
# Columns are: year    day     windspeed (m/s)                                                     #
####################################################################################################
year,day,windspeed
2009,1,5.32829563
2009,2,3.93817462
2009,3,7.295555
2009,4,6.80936475
2009,5,4.48222375
2009,6,6.99499338
2009,7,7.699938
2009,8,9.12807862
2009,9,10.02299663
2009,10,9.11170875
2009,11,10.33847413
2009,12,10.3907965
2009,13,6.68450612
2009,14,7.37884962
2009,15,3.28843175
2009,16,5.24638112
2009,17,6.8688495
2009,18,8.413179
2009,19,4.60826962
2009,20,5.49710775
2009,21,6.02039875
2009,22,8.8275965
2009,23,9.62297975
2009,24,9.526784
2009,25,11.09960038
2009,26,20.35561637
2009,27,8.70069112
2009,28,9.1455215
2009,29,8.48347062
2009,30,10.98778362
2009,31,9.60983537
