####################################################################################################
# Month: 07Jul                                                                                     #
# Station: SKS                                                                                     #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.422894
9,2,0.41425788
9,3,0.48445838
9,4,0.63450375
9,5,0.53808188
9,6,0.56022125
9,7,0.5408295
9,8,0.4725105
9,9,0.324064
9,10,0.36733975
9,11,0.35136362
9,12,0.29503938
9,13,0.52464763
9,14,0.18447225
9,15,0.097614
9,16,0.42726012
9,17,0.50853488
9,18,0.418575
9,19,0.331
9,20,0.28076388
9,21,0.26031738
9,22,0.05035462
9,23,0.20485125
9,24,0.13273625
9,25,0.27444138
9,26,0.2865875
9,27,0.32970762
9,28,0.08756938
9,29,0.0844125
9,30,0.1946495
9,31,0.21974488
