####################################################################################################
# Month: 02Feb                                                                                     #
# Station: BAN                                                                                     #
# Columns are: year    day     RH (percent)                                                        #
####################################################################################################
year,day,RH
9,1,0.75619562
9,2,0.940447
9,3,0.52422862
9,4,0.43303225
9,5,0.82819862
9,6,0.758898
9,7,0.7291695
9,8,0.73804825
9,9,0.7824585
9,10,0.75360838
9,11,0.57550088
9,12,0.53631713
9,13,0.54990875
9,14,0.22789612
9,15,0.2633665
9,16,0.11526538
9,17,0.64210725
9,18,0.62278437
9,19,0.88286112
9,20,0.497134
9,21,0.4536725
9,22,0.42403475
9,23,0.91847838
9,24,0.79583662
9,25,0.56566238
9,26,0.08744738
9,27,0.43405538
9,28,0.81909938
